고양정신병원,경기도 고양시 덕양구 통일로1102번길 46 (내유동),031-969-0885,126.8545927,37.7114709
국립정신건강센터,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)",02-2204-0114,127.0856522,37.5650897
대구정신병원,"대구광역시 달성군 화원읍 명천로 58 대구광역시 시립희망원, 대구정신병원",053-630-3000,128.5094375,35.8053917
대전광역시립정신병원,대전광역시 유성구 진잠옛로135번길 87  (학하동),042-823-9101,127.3064375,36.3320583
사회복지법인 성신원 동대전정신병원,대전광역시 동구 옥천로 315  (삼정동),042-272-8882,127.47105,36.323025
사회복지법인한마음 한마음정신병원,대전광역시 서구 삼보실길 123 (장안동),042-582-9700,127.3342367,36.2245807
의료법인영은의료재단김천신경정신병원,경상북도 김천시 아홉사리길 140-49 (응명동),054-432-5040,128.1147395,36.148379
광주시립정신병원,광주광역시 광산구 삼도로 84-3 (삼거동),062-949-5200,126.6671025,35.1630553
기독정신건강병원,광주광역시 동구 화산로 225  (용산동),062-234-8575,126.9205495,35.1168365
부산시립정신병원,부산광역시 사상구 학감대로39번길 104-36 (학장동),051-312-2288,128.995075,35.132849
새로운경기도립정신병원,경기도 용인시 기흥구 중부대로 940 새로운경기도립정신병원 (상하동),031-300-6200,127.1555927,37.2504431
서울시립 백암정신병원,경기도 용인시 처인구 백암면 용천로71번길 30 (백암면),031-332-3194,127.3648715,37.1221637
서울특별시축령정신병원,경기도 남양주시 수동면 외방로172번길 58 (),031-592-6661,127.3094646,37.7387759
송추정신병원(성람재단),경기도 양주시 장흥면 가마골로258번길 122-122 122,031-826-1300,126.9838644,37.7412691
신애정신병원,경상북도 김천시 어모면 신애길 89 (),054-420-7100,128.053812,36.211218
오산신경정신병원,"경기도 오산시 가장산업동로 69-27 가,나,다동 (궐동)",031-373-1254,127.0438767,37.1656759
용인정신병원,"경기도 용인시 기흥구 중부대로 940 (상하동, 용인정신병원)",031-288-0114,127.1555927,37.2504431
의료법인 벽삼의료재단 우리세명정신병원,경상북도 경산시 화랑로8길 26 (갑제동),053-819-9500,128.77184,35.81886
의료법인 진주의료재단 새진주정신병원,"경상남도 진주시 문산읍 제곡길98번길 36 지하1, 1~4층",055-761-7582,128.1737761,35.153151
의료법인 진주의료재단 진주정신병원,경상남도 진주시 문산읍 제곡길98번길 49-6 (),055-761-7582,128.1767465,35.1527151
의료법인벧엘의료재단 부산정신병원,"부산광역시 사하구 하신중앙로3번나길 10 (장림동, 부산정신병원)",051-263-8891,128.9623279,35.0769853
의료법인순영의료재단 경남도립정신병원,경상남도 사천시 축동면 서삼로 1110-35 (),055-854-6000,128.045387,35.0926436
의료법인통영의료재단통영정신병원,경상남도 통영시 도산면 남해안대로 1820 (도산면),055-640-1988,128.360517,34.9125232
투앤포정신병원,경상남도 김해시 인제로188번길 18 투앤포정신병원 (어방동),055-334-7530,128.9059071,35.2451892
한별정신건강병원,경기도 김포시 감암로 95 (걸포동),031-986-9900,126.70925,37.6396606
Dr. 고 신경정신과의원,서울특별시 광진구 능동로 324 3층 (중곡동),02-467-6247,127.0804054,37.5583953
Dr.신형직의비타민정신과의원,"강원도 강릉시 경강로 2109 6층 (임당동, 문선빌딩)",033-645-0900,128.8972134,37.7556773
The(더)공감 정신건강의학과의원,경기도 수원시 장안구 경수대로 940 일호골든타워 314-2호 (조원동),031-8019-8300,127.0080449,37.3031483
W정신건강의학과의원,경기도 성남시 분당구 판교역로 178 서건타워 402일부호 (삼평동),031-8016-6663,127.1100665,37.3965078
Y정신건강의학과의원,"경기도 화성시 동탄반석로 134 302호 (반송동, 에이치원메디컬센터)",031-8015-0415,127.0713349,37.2010827
e-맑은정신과의원,부산광역시 영도구 태종로 97 (대교동2가),051-415-5307,129.0414774,35.0917093
가람신경정신과의원,서울특별시 관악구 시흥대로 554 (신림동),02-859-8500,126.9015858,37.4824074
가로수정신건강의학과의원,인천광역시 남동구 논고개로 114 에이스타워 203호 (논현동),032-437-5700,126.7246687,37.4014468
가야신경정신과의원,"부산광역시 사상구 가야대로 288 202호 (주례동, 창조상가)",051-322-1300,129.004055,35.1500801
가오푸른정신건강의학과의원,"대전광역시 동구 동구청로 95 2층 201호 (가오동, 예시티)",042-285-2700,127.456713,36.3064929
가인정신건강의학과의원,"경기도 광주시 중앙로 95-3 (역동, 서울클리닉센터 B동 702호)",031-763-3267,127.2585792,37.4080781
가족사랑서울정신건강의학과의원,서울특별시 동작구 보라매로 113 (대방동),02-812-9494,126.9279165,37.4994798
가족사랑서울정신건강의학과의원,서울특별시 영등포구 당산로 222 (당산동5가),02-2068-7486,126.9025476,37.5333453
가족사랑정신과의원,서울특별시 강서구 양천로 461 5층 (가양동),02-3663-5956,126.8522408,37.5630495
가족사랑정신과의원,대구광역시 중구 달구벌대로 2111 (덕산동),053-422-7901,128.5947548,35.8655821
가톨릭정신건강의학과의원,제주특별자치도 제주시 도령로 1 (노형동),064-746-7355,126.4793243,33.4868094
강남연세정신건강의학과의원,서울특별시 강남구 테헤란로 109 강남제일빌딩 3층 (역삼동),02-566-6789,127.0290056,37.4988358
강남연정신건강의학과의원,"서울특별시 강남구 학동로 338 101호 (논현동, 강남파라곤)",02-541-5572,127.0401763,37.5165684
강남정신건강의학과의원,"서울특별시 강남구 테헤란로 119 (역삼동, 5층 일부)",02-555-0710,127.0306682,37.4993258
강남정신건강의학괴의원,대구광역시 북구 신암로 111 강남메디컬타워 3층 303호 (대현동),053-939-0675,128.6112895,35.8808356
강남정신과의원,서울특별시 강동구 천호대로 997 (천호동),02-482-3500,127.1233017,37.5393392
강남푸른정신건강의학과의원,서울특별시 서초구 강남대로 345 삼양빌딩 5층 501호 (서초동),02-523-7008,127.0291679,37.4937403
강남하늘정신건강의학과의원,서울특별시 강남구 봉은사로 105 동양빌딩 1동 501호 (논현동),02-515-1330,127.0250571,37.5049634
강동신경정신과의원,서울특별시 강동구 양재대로 1459 (길동),02-487-6220,127.1390863,37.536162
강동우정신건강의학과의원,경기도 성남시 분당구 성남대로 345 정자역 프라자빌딩 506호 (정자동),712-0506,127.1077021,37.3669303
강병구정신건강의학과의원,부산광역시 동래구 충렬대로 132 (온천동),051-504-3171,129.0746888,35.2055637
강봉선신경정신과의원,"강원도 원주시 서원대로 383 3층 401호 (개운동, 한신프라자)",033-744-3884,127.9485496,37.331995
강신경정신과의원,서울특별시 관악구 신림로 344 301호 (신림동),02-871-7121,126.9299942,37.4851585
강신삼신경정신과의원,서울특별시 동대문구 홍릉로 5 (청량리동),02-969-9491,127.0447366,37.5808179
강앤정신경과신경외과의원,"대구광역시 수성구 달구벌대로 3206 5층 (신매동, 창성빌딩)",053-795-8575,128.7073557,35.8398009
강원룡신경과정신과의원,서울특별시 강동구 천호대로 1027 4층 (천호동),02-478-1070,127.1263862,37.5381231
강정신건강의학과의원,"부산광역시 해운대구 양운로 82 801호 (좌동, 화인크리닉)",051-701-2772,129.1755732,35.1704651
강정신건강의학과의원,부산광역시 부산진구 동평로 422 6층 (양정동),051-717-3886,129.070642,35.1728712
강정신건강의학과의원,대구광역시 중구 달구벌대로 2094 8층 (남산동),053-253-2882,128.5925911,35.8652832
강지윤정신건강의학과의원,"경기도 수원시 영통구 봉영로 1612 419호호 (영통동, 보보스프라자)",031-202-7925,127.0750136,37.2544858
강혜영정신건강의학과의원,"경기도 용인시 기흥구 동백중앙로 265 (중동, 더엠빌딩 304호 일부)",031-286-7705,127.1526482,37.2763622
같은마음정신건강의학과의원,서울특별시 강북구 도봉로 324 글로리타워 (번동),02-903-7557,127.0248586,37.6367983
개운정신건강의학과의원,"서울특별시 서초구 동작대로 114 5층 (방배동, 유문빌딩)",02-534-5568,126.9827042,37.4868002
개정정신건강의학과의원,전라북도 군산시 번영로 312 (사정동),063-452-0005,126.7515411,35.9628902
거제정신건강의학과의원,경상남도 거제시 고현로 88 202호 (고현동),055-635-7475,128.6225244,34.8861293
건대하늘정신건강의학과의원,서울특별시 광진구 아차산로 213 웅진빌딩 4층 (화양동),02-463-1331,127.0672043,37.5413798
경기정신건강의학과의원,경기도 수원시 장안구 팔달로 211 (영화동),031-247-1135,127.0088875,37.2865083
경대마음정신건강의학과의원,대구광역시 남구 월배로 474 2층 (대명동),053-621-6300,128.556295,35.8352894
경대연합정신건강의학과의원,"대구광역시 남구 월배로 468 2층 (대명동, 한영유니죤빌딩)",053-621-0077,128.5559683,35.8346274
경대제이정신건강의학과의원,"대구광역시 달서구 월배로 219 701호 (상인동, CENTRO TOWER)",053-633-6680,128.5370938,35.8191042
경산정신과의원,경상북도 경산시 중앙로 69 (중방동),053-815-9933,128.7346625,35.82295
경주정신건강의학과의원,경상북도 경주시 봉황로51번길 27 5층 (성건동),054-624-0505,129.2072413,35.844351
경희궁삼성정신건강의학과의원,"서울특별시 종로구 송월길 99 2207호 (홍파동, 경희궁자이 2단지)",02-737-5577,126.9638824,37.5708754
고려신경정신과의원,대전광역시 중구 대종로 504 2층 (은행동),042-254-6311,127.4254588,36.32931
고려정신건강의학과의원,"경기도 광명시 철산로 12 3층 304호 (철산동, 로데오빌딩)",02-2617-7575,126.867575,37.4755506
고려제일정신과의원,서울특별시 구로구 구로동로 240 세일빌딩 2층 (구로동),02-859-4469,126.8827321,37.4999929
고려힐링정신건강의학과의원,"서울특별시 서대문구 신촌로35길 10 212호 (북아현동, e편한세상신촌 4단지)",02-6354-8275,126.955591,37.5584811
고려힐링정신건강의학과의원,경기도 화성시 봉담읍 동화길 85 307-308호,031-302-8998,126.9583651,37.2169229
고석만정신건강의학과의원,"강원도 원주시 능라동길 59 (무실동, 정한프라자 509호)",033-744-0223,127.9308182,37.3344196
고신경정신과의원,제주특별자치도 제주시 서광로 203 (삼도일동),722-3185,126.5181216,33.5001802
고운마음정신과의원,"경기도 부천시 길주로 137 상록그린힐빌딩, 504호 일부 (상동)",032-329-1151,126.7577903,37.5061044
고운신경과정신건강의학과의원,충청남도 천안시 동남구 대흥로 271 (대흥동),041-567-4300,127.148826,36.8123021
고정선정신건강의학과의원,"인천광역시 중구 참외전로 134 3,4층 (인현동)",032-777-1182,126.6317744,37.4745088
고정신건강의학과의원,인천광역시 서구 가정로 363 그린빌딩 2층 201호 (신현동),572-0572,126.6727457,37.5173885
고정인정신건강의학과의원,"서울특별시 강남구 테헤란로 313 211~212호 (역삼동, 성아하이츠 1차)",02-569-8005,127.045287,37.5038082
고천석정신건강의학과의원,광주광역시 북구 필문대로 103 2층 (풍향동),062-266-9555,126.930266,35.1614995
고효선정신건강의학과의원,전라북도 익산시 선화로 65 2층 (모현동1가),063-857-7575,126.9383713,35.9501411
공감과성장김현철정신건강의학과의원,"대구광역시 수성구 동대구로 300 401동 4층 405호 (범어동, 범어 롯데캐슬)",053-752-2539,128.626825,35.8567571
공감더하기정신건강의학과의원,대전광역시 서구 계백로 1135 MK클리닉 404호 (가수원동),042-542-7503,127.3495016,36.3047704
공감정신건강의학과의원,서울특별시 송파구 송파대로 404-1 3층 (송파동),02-412-1105,127.1092504,37.5034721
공감정신건강의학과의원,부산광역시 중구 대청로 80 7층 (대청동3가),051-469-0018,129.0285778,35.1027847
공감정신건강의학과의원,충청북도 청주시 청원구 율봉로 141 6층 (율량동),043-288-8886,127.4846453,36.6684098
공감정신건강의학과의원,경상남도 김해시 능동로149번길 6 남일빌딩 301호 (부곡동),055-325-8275,128.8076494,35.2026099
